"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comments","trialNum","swatch","response","responseCoded","rt","country"
"76","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",28,"BI2A00019","maybe yes",1,2065,"india"
"77","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",29,"BI2A00026","definitely no",-3,2272,"india"
"78","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",30,"BI2A00045","definitely no",-3,1316,"india"
"79","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",31,"BI2A00040","definitely no",-3,1934,"india"
"80","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",32,"BI2A00011","probably yes",2,1910,"india"
"81","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",33,"BI2A00018","definitely no",-3,1412,"india"
"82","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",34,"BI2A00006","definitely yes",3,1535,"india"
"83","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",35,"BI2A00027","definitely no",-3,1430,"india"
"84","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",36,"BI2A00008","definitely yes",3,1439,"india"
"85","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",37,"BI2A00028","probably yes",2,2028,"india"
"86","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",38,"BI2A00042","definitely no",-3,1871,"india"
"87","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",39,"BI2A00021","definitely no",-3,1351,"india"
"88","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",40,"BI2A00044","definitely no",-3,1311,"india"
"89","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",41,"BI2A00034","definitely no",-3,1712,"india"
"90","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",42,"BI2A00007","definitely yes",3,1422,"india"
"91","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",43,"BI2A00037","definitely no",-3,1495,"india"
"92","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",44,"BI2A00004","probably yes",2,1519,"india"
"93","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",45,"BI2A00020","maybe yes",1,1672,"india"
"94","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",46,"BI2A00013","maybe yes",1,1496,"india"
"95","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",47,"BI2A00031","definitely no",-3,1399,"india"
"96","animal","A22ZVWOXT5JNNU","college_some",NA,"white","female",21,"none","",48,"BI2A00012","definitely no",-3,1240,"india"
"97","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",1,"BI2A00020","equally yes/no",0,11192,"india"
"98","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",2,"BI2A00027","maybe no",-1,1420,"india"
"99","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",3,"BI2A00035","definitely no",-3,2133,"india"
"100","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",4,"BI2A00028","maybe yes",1,2078,"india"
"101","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",5,"BI2A00022","maybe yes",1,919,"india"
"102","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",6,"BI2A00009","maybe yes",1,1413,"india"
"103","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",7,"BI2A00017","maybe no",-1,1899,"india"
"104","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",8,"BI2A00043","definitely no",-3,2142,"india"
"105","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",9,"BI2A00006","maybe yes",1,1308,"india"
"106","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",10,"BI2A00024","equally yes/no",0,1036,"india"
"107","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",11,"BI2A00026","maybe no",-1,1695,"india"
"108","animal","A2VQ1WGHLLLNJ1","hs_diploma",NA,"white","male",24,"none","THANK YOU :)",12,"BI2A00012","maybe yes",1,1020,"india"
