"","condition","worker_id","education","english_native","ethnicity","gender","age","religion","comp_check","comments","trialNum","swatch","response","responseCoded","rt","country"
"35","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",35,"BI2A00011","equally yes/no",0,3591,"india"
"36","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",36,"BI2A00019","equally yes/no",0,2510,"india"
"37","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",37,"BI2A00035","definitely no",-3,1087,"india"
"38","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",38,"BI2A00015","equally yes/no",0,6094,"india"
"39","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",39,"BI2A00021","definitely no",-3,1059,"india"
"40","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",40,"BI2A00009","equally yes/no",0,1011,"india"
"41","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",41,"BI2A00036","definitely no",-3,973,"india"
"42","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",42,"BI2A00018","equally yes/no",0,2214,"india"
"43","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",43,"BI2A00007","equally yes/no",0,1455,"india"
"44","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",44,"BI2A00023","equally yes/no",0,3389,"india"
"45","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",45,"BI2A00040","definitely no",-3,1446,"india"
"46","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",46,"BI2A00034","definitely no",-3,2456,"india"
"47","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",47,"BI2A00029","equally yes/no",0,2418,"india"
"48","animal","A2BAQ26SMQQEUG","college_bachDegree",NA,"asian_southAsian","male",30,"hinduism","i think that this one is not an animal","",48,"BI2A00013","equally yes/no",0,1069,"india"
"49","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",1,"BI2A00022","probably no",-2,68995,"india"
"50","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",2,"BI2A00007","probably no",-2,37,"india"
"51","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",3,"BI2A00043","definitely no",-3,8787,"india"
"52","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",4,"BI2A00004","definitely yes",3,4441,"india"
"53","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",5,"BI2A00017","probably no",-2,8005,"india"
"54","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",6,"BI2A00038","definitely no",-3,29087,"india"
"55","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",7,"BI2A00046","definitely no",-3,2161,"india"
"56","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",8,"BI2A00001","definitely yes",3,2107,"india"
"57","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",9,"BI2A00047","definitely no",-3,4460,"india"
"58","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",10,"BI2A00009","definitely yes",3,2100,"india"
"59","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",11,"BI2A00042","definitely no",-3,4138,"india"
"60","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",12,"BI2A00012","definitely yes",3,8661,"india"
"61","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",13,"BI2A00026","definitely yes",3,2028,"india"
"62","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",14,"BI2A00002","definitely yes",3,891,"india"
"63","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",15,"BI2A00045","definitely yes",3,3339,"india"
"64","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",16,"BI2A00029","definitely yes",3,76,"india"
"65","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",17,"BI2A00048","definitely no",-3,1975,"india"
"66","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",18,"BI2A00005","definitely yes",3,1707,"india"
"67","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",19,"BI2A00020","definitely yes",3,3979,"india"
"68","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",20,"BI2A00014","definitely no",-3,5970,"india"
"69","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",21,"BI2A00025","definitely no",-3,32516,"india"
"70","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",22,"BI2A00027","definitely no",-3,82,"india"
"71","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",23,"BI2A00019","definitely yes",3,1647,"india"
"72","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",24,"BI2A00041","definitely yes",3,76,"india"
"73","animal","AWEQZZGOOBGV3","grad_some",NA,"asian_southAsian","male",28,"hinduism","i think this is an animal","nice survey",25,"BI2A00016","maybe no",-1,3184,"india"
